ssn,age,education,marital-status,relationship,sex,income
860-86-0860,26.0,Bachelors,Married-civ-spouse,,Male,
708-70-8708,24.0,Masters,Married-civ-spouse,Husband,,
136-13-6136,28.0,,Never-married,Not-in-family,Female,<=50K
502-50-2502,38.0,10th,Never-married,Not-in-family,Female,<=50K
703-70-3703,50.0,Doctorate,,Wife,Female,>50K
582-58-2582,36.0,Bachelors,Married-civ-spouse,Husband,,>50K
868-86-8868,42.0,HS-grad,Married-civ-spouse,Husband,Male,
128-12-8128,28.0,HS-grad,Never-married,Not-in-family,,
189-18-9189,39.0,Masters,Never-married,Not-in-family,Male,<=50K
564-56-4564,62.0,Some-college,Divorced,,Female,
836-83-6836,41.0,Some-college,,Husband,Male,
574-57-4574,71.0,Prof-school,Separated,Other-relative,Female,
408-40-8408,34.0,,Divorced,,Female,<=50K
692-69-2692,74.0,HS-grad,Never-married,Own-child,Female,
230-23-0230,36.0,,,,,<=50K
199-19-9199,86.0,Assoc-voc,Married-AF-spouse,,,<=50K
819-81-9819,,,,Wife,,
722-72-2722,55.0,HS-grad,Widowed,Unmarried,Female,<=50K
030-03-0030,48.0,Preschool,Married-civ-spouse,,,<=50K
729-72-9729,55.0,Bachelors,,,Male,
244-24-4244,43.0,HS-grad,Divorced,Not-in-family,,
949-94-9949,37.0,HS-grad,,Husband,,<=50K
210-21-0210,58.0,Some-college,Married-civ-spouse,Husband,Male,>50K
671-67-1671,28.0,,,Husband,,<=50K
771-77-1771,41.0,Some-college,Never-married,Not-in-family,Female,<=50K
201-20-1201,,,Married-civ-spouse,Husband,,
303-30-3303,41.0,,,Own-child,,<=50K
047-04-7047,87.0,Masters,Divorced,Not-in-family,Male,>50K
229-22-9229,59.0,HS-grad,Married-civ-spouse,,,
096-09-6096,29.0,Some-college,Never-married,,Male,
569-56-9569,18.0,HS-grad,Never-married,Own-child,Male,<=50K
373-37-3373,42.0,,Married-civ-spouse,Husband,,
998-99-8998,26.0,Preschool,,Own-child,Female,<=50K
403-40-3403,38.0,Some-college,,,Female,<=50K
716-71-6716,23.0,,Never-married,Not-in-family,Male,<=50K
160-16-0160,22.0,HS-grad,Never-married,Own-child,Male,
180-18-0180,52.0,,Married-civ-spouse,Husband,Male,>50K
105-10-5105,36.0,9th,Never-married,Not-in-family,Male,<=50K
519-51-9519,28.0,,,Not-in-family,,<=50K
761-76-1761,,HS-grad,Married-civ-spouse,Husband,,<=50K
022-02-2022,45.0,HS-grad,Widowed,Other-relative,,<=50K
115-11-5115,74.0,,,Not-in-family,Male,<=50K
906-90-6906,56.0,Assoc-acdm,Never-married,Not-in-family,,
465-46-5465,17.0,HS-grad,Never-married,Own-child,Female,<=50K
967-96-7967,42.0,,Married-civ-spouse,Wife,,>50K
664-66-4664,27.0,HS-grad,Never-married,Not-in-family,Male,<=50K
181-18-1181,28.0,,Never-married,,,<=50K
780-78-0780,,,,,Female,
760-76-0760,57.0,Some-college,Married-civ-spouse,Husband,Male,
576-57-6576,71.0,HS-grad,,Husband,Male,>50K
227-22-7227,60.0,7th-8th,,Not-in-family,,<=50K
167-16-7167,52.0,HS-grad,Married-civ-spouse,Husband,,<=50K
074-07-4074,27.0,Masters,,Not-in-family,Female,
926-92-6926,36.0,HS-grad,Separated,Wife,,<=50K
178-17-8178,49.0,Bachelors,,Unmarried,Female,
642-64-2642,19.0,12th,,Own-child,,<=50K
202-20-2202,34.0,11th,Divorced,Unmarried,Female,<=50K
024-02-4024,55.0,HS-grad,Married-AF-spouse,Husband,Male,
530-53-0530,60.0,,Widowed,Not-in-family,,<=50K
905-90-5905,54.0,5th-6th,Divorced,Unmarried,,<=50K
221-22-1221,21.0,,Never-married,,Male,
209-20-9209,31.0,HS-grad,,Own-child,Male,<=50K
223-22-3223,30.0,HS-grad,Married-civ-spouse,Husband,Male,
439-43-9439,39.0,Bachelors,Married-civ-spouse,Husband,,>50K
186-18-6186,53.0,HS-grad,Never-married,Unmarried,,
491-49-1491,,Bachelors,,Husband,,
984-98-4984,45.0,,Never-married,Not-in-family,,
601-60-1601,19.0,11th,Never-married,Own-child,,
617-61-7617,40.0,Some-college,Divorced,,,<=50K
182-18-2182,36.0,Some-college,,Husband,,<=50K
924-92-4924,38.0,,Never-married,Not-in-family,Female,<=50K
942-94-2942,,Bachelors,Married-civ-spouse,Husband,Male,<=50K
742-74-2742,28.0,,Divorced,Not-in-family,,<=50K
267-26-7267,34.0,Assoc-acdm,Never-married,Own-child,,<=50K
800-80-0800,34.0,HS-grad,Married-civ-spouse,Husband,Male,
522-52-2522,62.0,HS-grad,Married-civ-spouse,Husband,Male,
372-37-2372,51.0,9th,Married-civ-spouse,Husband,,<=50K
804-80-4804,39.0,HS-grad,Married-spouse-absent,Own-child,Male,
934-93-4934,44.0,HS-grad,Married-spouse-absent,Unmarried,Female,
821-82-1821,52.0,HS-grad,Divorced,Unmarried,Female,<=50K
921-92-1921,35.0,Some-college,Never-married,,Female,
739-73-9739,53.0,Assoc-voc,,Husband,Male,<=50K
916-91-6916,40.0,HS-grad,Divorced,Unmarried,Female,<=50K
177-17-7177,25.0,Bachelors,Never-married,Own-child,Male,<=50K
702-70-2702,,HS-grad,,Own-child,Male,
396-39-6396,23.0,Assoc-voc,Never-married,,Female,
867-86-7867,42.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
874-87-4874,54.0,Prof-school,,Unmarried,Female,<=50K
788-78-8788,41.0,,,,Male,<=50K
544-54-4544,67.0,Preschool,Married-spouse-absent,Other-relative,Male,<=50K
508-50-8508,,,Never-married,Not-in-family,,<=50K
001-00-1001,46.0,HS-grad,Divorced,,Female,
936-93-6936,46.0,Bachelors,Married-civ-spouse,Husband,,>50K
828-82-8828,31.0,Bachelors,,Not-in-family,,<=50K
414-41-4414,34.0,11th,,Other-relative,Female,<=50K
711-71-1711,43.0,Some-college,Divorced,Unmarried,Male,
055-05-5055,43.0,Prof-school,Married-civ-spouse,Husband,,>50K
504-50-4504,37.0,Preschool,,Husband,Male,
919-91-9919,61.0,10th,,Not-in-family,,<=50K
643-64-3643,18.0,Some-college,Never-married,Own-child,Male,<=50K
494-49-4494,39.0,,Never-married,,Male,>50K
911-91-1911,28.0,Bachelors,Never-married,Own-child,,
918-91-8918,56.0,5th-6th,Married-civ-spouse,Husband,,
590-59-0590,17.0,HS-grad,,,Male,<=50K
675-67-5675,39.0,Bachelors,Separated,,Female,
540-54-0540,73.0,1st-4th,Never-married,Other-relative,Male,<=50K
640-64-0640,25.0,Some-college,Never-married,,,<=50K
237-23-7237,34.0,,Never-married,Own-child,,
179-17-9179,35.0,HS-grad,Married-spouse-absent,,,
400-40-0400,25.0,HS-grad,Never-married,,,>50K
038-03-8038,39.0,Bachelors,Never-married,,,
987-98-7987,33.0,HS-grad,,,,<=50K
086-08-6086,43.0,Bachelors,Married-civ-spouse,Husband,,
632-63-2632,30.0,,,Husband,,
749-74-9749,35.0,HS-grad,Divorced,Not-in-family,Male,
065-06-5065,25.0,Some-college,Never-married,,Male,
093-09-3093,39.0,Some-college,Divorced,Not-in-family,,
766-76-6766,29.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
611-61-1611,50.0,Bachelors,,,Female,<=50K
421-42-1421,25.0,,,Not-in-family,Female,>50K
803-80-3803,,11th,Never-married,,Male,
847-84-7847,61.0,11th,Married-civ-spouse,Husband,,>50K
974-97-4974,84.0,Masters,Married-civ-spouse,Unmarried,Male,<=50K
084-08-4084,26.0,HS-grad,Never-married,Not-in-family,,<=50K
732-73-2732,40.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
217-21-7217,50.0,Bachelors,Divorced,Unmarried,Female,
621-62-1621,,,Married-civ-spouse,Husband,Male,
512-51-2512,39.0,HS-grad,Married-civ-spouse,Husband,,
450-45-0450,38.0,,Married-civ-spouse,Husband,,<=50K
741-74-1741,40.0,HS-grad,,Husband,Male,>50K
025-02-5025,46.0,,Divorced,,,
787-78-7787,43.0,Some-college,Married-civ-spouse,Wife,Female,
625-62-5625,41.0,Some-college,Never-married,,Female,<=50K
850-85-0850,39.0,HS-grad,,Unmarried,Female,<=50K
505-50-5505,31.0,10th,Never-married,Own-child,,<=50K
423-42-3423,50.0,Bachelors,Divorced,Not-in-family,,<=50K
776-77-6776,60.0,,Married-civ-spouse,,,
422-42-2422,22.0,,Never-married,Not-in-family,Female,
399-39-9399,25.0,HS-grad,Never-married,Not-in-family,Female,
145-14-5145,64.0,7th-8th,Divorced,Not-in-family,,
848-84-8848,22.0,,Married-civ-spouse,,Female,>50K
923-92-3923,44.0,Bachelors,,Husband,Male,>50K
184-18-4184,24.0,,Never-married,Not-in-family,,
613-61-3613,32.0,HS-grad,Divorced,Unmarried,Female,<=50K
872-87-2872,28.0,,,Husband,Male,<=50K
993-99-3993,17.0,Some-college,Never-married,Own-child,Male,
509-50-9509,39.0,,Divorced,Not-in-family,,<=50K
305-30-5305,59.0,,,Husband,Male,>50K
112-11-2112,37.0,,Married-civ-spouse,Husband,Male,>50K
159-15-9159,,1st-4th,,Other-relative,,<=50K
188-18-8188,38.0,HS-grad,Divorced,Not-in-family,Female,<=50K
449-44-9449,28.0,HS-grad,Divorced,Not-in-family,Female,<=50K
436-43-6436,59.0,,Divorced,Not-in-family,,<=50K
334-33-4334,41.0,Some-college,Married-civ-spouse,,Female,
523-52-3523,47.0,Masters,Married-civ-spouse,Husband,Male,
683-68-3683,81.0,HS-grad,Married-civ-spouse,Husband,Male,
592-59-2592,44.0,10th,Never-married,Not-in-family,Male,
050-05-0050,,Some-college,,Own-child,,
437-43-7437,28.0,Some-college,Divorced,Unmarried,,<=50K
406-40-6406,39.0,,Divorced,Not-in-family,,>50K
051-05-1051,26.0,HS-grad,Married-civ-spouse,,Male,<=50K
552-55-2552,48.0,HS-grad,Divorced,Not-in-family,Male,<=50K
433-43-3433,38.0,,Divorced,Unmarried,Female,<=50K
622-62-2622,,,,Own-child,Female,
117-11-7117,44.0,,Never-married,,,
781-78-1781,,Assoc-acdm,Never-married,,,<=50K
878-87-8878,32.0,Bachelors,Married-civ-spouse,,Male,>50K
066-06-6066,33.0,,,Wife,Female,>50K
164-16-4164,30.0,HS-grad,,Unmarried,,<=50K
139-13-9139,,,Divorced,Not-in-family,,<=50K
027-02-7027,35.0,,Married-civ-spouse,Husband,,<=50K
937-93-7937,38.0,,Married-civ-spouse,Husband,,
011-01-1011,47.0,,Married-civ-spouse,Husband,,
980-98-0980,41.0,5th-6th,Never-married,Not-in-family,,<=50K
100-10-0100,41.0,Masters,Married-AF-spouse,Own-child,Female,
493-49-3493,,,Married-civ-spouse,Wife,,<=50K
389-38-9389,35.0,Some-college,Married-civ-spouse,,,<=50K
458-45-8458,22.0,Some-college,Married-AF-spouse,Husband,Female,<=50K
891-89-1891,44.0,Assoc-voc,Married-civ-spouse,Husband,Male,
707-70-7707,27.0,,Never-married,Own-child,Male,
392-39-2392,77.0,Prof-school,Married-spouse-absent,Wife,Male,>50K
679-67-9679,,Assoc-voc,Divorced,,,<=50K
255-25-5255,22.0,,Never-married,,,
812-81-2812,33.0,HS-grad,Married-civ-spouse,,Male,
445-44-5445,39.0,Assoc-acdm,Never-married,Not-in-family,,<=50K
913-91-3913,43.0,Bachelors,Married-spouse-absent,Not-in-family,Male,
419-41-9419,41.0,Some-college,Married-civ-spouse,Husband,,<=50K
586-58-6586,45.0,Masters,Divorced,Unmarried,Female,>50K
143-14-3143,48.0,Assoc-voc,Widowed,Unmarried,Female,<=50K
977-97-7977,51.0,HS-grad,Divorced,,Male,
855-85-5855,43.0,,,Husband,,
915-91-5915,23.0,Masters,Never-married,Other-relative,Male,>50K
822-82-2822,74.0,HS-grad,Married-spouse-absent,Own-child,,<=50K
653-65-3653,32.0,Assoc-voc,,Husband,Male,<=50K
898-89-8898,47.0,HS-grad,,Husband,,
258-25-8258,31.0,HS-grad,,,Female,<=50K
171-17-1171,63.0,,Married-civ-spouse,Husband,,>50K
961-96-1961,52.0,Some-college,Widowed,Not-in-family,Female,
365-36-5365,,Assoc-voc,Married-civ-spouse,Husband,,>50K
515-51-5515,29.0,Masters,,Not-in-family,Female,
261-26-1261,31.0,Bachelors,Never-married,,Male,
404-40-4404,22.0,,Never-married,Not-in-family,,
764-76-4764,56.0,Some-college,Divorced,,Male,
507-50-7507,45.0,,Married-civ-spouse,Husband,Male,
380-38-0380,58.0,11th,,Husband,Male,<=50K
384-38-4384,31.0,Some-college,,Not-in-family,,
193-19-3193,58.0,,Never-married,Not-in-family,Female,<=50K
745-74-5745,46.0,HS-grad,Widowed,Unmarried,Male,<=50K
834-83-4834,17.0,HS-grad,Divorced,Not-in-family,Female,
684-68-4684,60.0,,,Unmarried,,<=50K
796-79-6796,24.0,HS-grad,Never-married,Own-child,,
386-38-6386,,10th,Never-married,Not-in-family,Female,
412-41-2412,33.0,,Never-married,Not-in-family,,<=50K
026-02-6026,44.0,Assoc-acdm,Never-married,Own-child,Male,<=50K
837-83-7837,52.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
901-90-1901,48.0,Masters,,,Male,<=50K
174-17-4174,43.0,HS-grad,Divorced,Unmarried,Female,
594-59-4594,51.0,Some-college,Divorced,Unmarried,Female,<=50K
939-93-9939,22.0,Some-college,Never-married,Own-child,,
205-20-5205,38.0,Masters,,Husband,Male,
718-71-8718,39.0,Assoc-voc,Never-married,Not-in-family,Male,<=50K
343-34-3343,30.0,HS-grad,Never-married,Not-in-family,,
163-16-3163,24.0,Bachelors,Never-married,Not-in-family,Male,
982-98-2982,60.0,Bachelors,Married-civ-spouse,Husband,Male,
890-89-0890,66.0,Bachelors,Married-AF-spouse,Wife,,
853-85-3853,51.0,,,Husband,Male,>50K
397-39-7397,23.0,Some-college,Never-married,Own-child,Male,<=50K
266-26-6266,76.0,Assoc-acdm,Widowed,Unmarried,,<=50K
220-22-0220,,Assoc-voc,Never-married,Own-child,,
368-36-8368,39.0,Bachelors,,,Female,<=50K
353-35-3353,39.0,Bachelors,,Husband,Male,
897-89-7897,37.0,Bachelors,Married-civ-spouse,,Male,<=50K
566-56-6566,44.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
637-63-7637,19.0,9th,,Own-child,Female,<=50K
277-27-7277,59.0,,,Not-in-family,,
120-12-0120,27.0,Bachelors,,Own-child,Female,<=50K
307-30-7307,19.0,11th,,Not-in-family,Female,
498-49-8498,37.0,9th,Married-civ-spouse,Husband,Male,<=50K
109-10-9109,52.0,Bachelors,Married-civ-spouse,Husband,Male,
153-15-3153,33.0,Bachelors,Separated,Other-relative,Female,
468-46-8468,,Bachelors,Divorced,,,
169-16-9169,31.0,,Separated,Not-in-family,Male,<=50K
395-39-5395,49.0,Masters,Married-civ-spouse,Husband,,
538-53-8538,,Prof-school,Married-civ-spouse,Husband,Male,
448-44-8448,80.0,HS-grad,Never-married,Husband,Female,>50K
257-25-7257,26.0,Some-college,Married-civ-spouse,Husband,,<=50K
677-67-7677,,Bachelors,,Husband,,
009-00-9009,56.0,HS-grad,,Husband,,<=50K
350-35-0350,39.0,,,Husband,,
078-07-8078,,,Married-civ-spouse,Husband,,
783-78-3783,34.0,,Married-AF-spouse,,,
462-46-2462,22.0,Some-college,,Husband,Male,
081-08-1081,34.0,HS-grad,Never-married,Own-child,Female,
344-34-4344,32.0,Masters,,Wife,Female,
268-26-8268,27.0,Assoc-acdm,Never-married,Not-in-family,,<=50K
644-64-4644,44.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
233-23-3233,22.0,Doctorate,Married-civ-spouse,Husband,Male,
838-83-8838,33.0,,Divorced,Not-in-family,Female,
928-92-8928,19.0,10th,,Own-child,,
087-08-7087,27.0,,Never-married,Not-in-family,Male,
914-91-4914,36.0,,Married-civ-spouse,,Male,>50K
962-96-2962,30.0,Some-college,Never-married,Wife,,<=50K
895-89-5895,17.0,,,,Female,<=50K
097-09-7097,40.0,,Married-civ-spouse,Husband,Male,>50K
140-14-0140,,Bachelors,Married-civ-spouse,,,
289-28-9289,27.0,,Separated,Not-in-family,Male,
596-59-6596,50.0,11th,,,Male,
791-79-1791,59.0,Masters,Divorced,Unmarried,,
252-25-2252,39.0,Some-college,Divorced,,,<=50K
183-18-3183,26.0,5th-6th,,Wife,Female,>50K
149-14-9149,24.0,12th,Never-married,Not-in-family,Female,
142-14-2142,43.0,HS-grad,Widowed,Other-relative,Female,
990-99-0990,59.0,7th-8th,Divorced,Not-in-family,Female,
806-80-6806,21.0,Some-college,,Not-in-family,Male,<=50K
831-83-1831,57.0,Some-college,Married-civ-spouse,Husband,,
280-28-0280,30.0,,,Other-relative,Female,
866-86-6866,45.0,HS-grad,Divorced,Unmarried,,
434-43-4434,45.0,,Married-civ-spouse,Husband,,>50K
328-32-8328,43.0,HS-grad,Separated,Own-child,Male,
567-56-7567,,Bachelors,Married-civ-spouse,Husband,Male,<=50K
310-31-0310,39.0,Masters,Married-civ-spouse,Husband,Male,>50K
479-47-9479,38.0,HS-grad,Married-civ-spouse,Husband,,<=50K
774-77-4774,39.0,HS-grad,Married-civ-spouse,,,
887-88-7887,64.0,,Married-civ-spouse,Husband,Male,>50K
792-79-2792,34.0,Some-college,Divorced,Husband,,>50K
456-45-6456,23.0,Bachelors,Never-married,Own-child,Male,
130-13-0130,43.0,10th,Married-civ-spouse,Husband,,<=50K
627-62-7627,34.0,,Never-married,,,<=50K
141-14-1141,33.0,,Divorced,Unmarried,Female,
609-60-9609,39.0,,Divorced,,Female,
797-79-7797,55.0,11th,Married-AF-spouse,Other-relative,Female,<=50K
957-95-7957,29.0,Masters,Separated,Not-in-family,Male,>50K
218-21-8218,25.0,,,Own-child,Male,<=50K
651-65-1651,33.0,HS-grad,Never-married,,Female,
531-53-1531,35.0,11th,Never-married,Other-relative,,
276-27-6276,51.0,Some-college,Married-civ-spouse,Husband,Male,>50K
304-30-4304,41.0,HS-grad,,,Female,<=50K
347-34-7347,,Prof-school,Never-married,Not-in-family,,>50K
215-21-5215,60.0,Bachelors,Married-civ-spouse,Husband,Male,
052-05-2052,52.0,9th,Married-civ-spouse,Husband,Male,<=50K
281-28-1281,39.0,,,Not-in-family,,
300-30-0300,,Assoc-acdm,Married-civ-spouse,,,<=50K
075-07-5075,35.0,Masters,,Not-in-family,Male,>50K
152-15-2152,59.0,HS-grad,Never-married,Not-in-family,,<=50K
602-60-2602,45.0,,,Not-in-family,,
068-06-8068,,,Never-married,,Female,<=50K
678-67-8678,22.0,Bachelors,Never-married,,Male,
960-96-0960,35.0,Some-college,Married-civ-spouse,,Male,
556-55-6556,29.0,Bachelors,,Not-in-family,Male,>50K
057-05-7057,25.0,HS-grad,Divorced,,Female,
028-02-8028,32.0,HS-grad,Divorced,,,<=50K
231-23-1231,72.0,Masters,Divorced,Unmarried,,
176-17-6176,41.0,,Married-civ-spouse,Husband,,<=50K
308-30-8308,28.0,,Married-civ-spouse,Husband,,<=50K
192-19-2192,48.0,7th-8th,Married-civ-spouse,Husband,Male,<=50K
240-24-0240,22.0,,Never-married,,Female,<=50K
873-87-3873,50.0,Bachelors,,Husband,Male,
529-52-9529,29.0,,Never-married,Not-in-family,Female,<=50K
581-58-1581,,12th,Never-married,Other-relative,,>50K
348-34-8348,32.0,,Married-civ-spouse,Wife,,
298-29-8298,23.0,HS-grad,,,Male,<=50K
432-43-2432,,,Married-civ-spouse,Husband,,>50K
254-25-4254,25.0,Some-college,Never-married,Not-in-family,Male,<=50K
099-09-9099,,Bachelors,Never-married,,Female,>50K
695-69-5695,41.0,HS-grad,Never-married,,,<=50K
835-83-5835,34.0,HS-grad,,Husband,Male,
317-31-7317,41.0,Bachelors,Married-civ-spouse,Husband,,
405-40-5405,,HS-grad,Never-married,Not-in-family,Male,<=50K
137-13-7137,,Bachelors,Married-civ-spouse,Husband,Male,<=50K
330-33-0330,23.0,Some-college,Never-married,Not-in-family,Male,<=50K
251-25-1251,44.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
351-35-1351,31.0,HS-grad,Divorced,Own-child,Male,<=50K
224-22-4224,29.0,Masters,,Husband,Male,>50K
810-81-0810,,10th,Divorced,Own-child,,
945-94-5945,48.0,,Married-civ-spouse,Husband,,
114-11-4114,23.0,HS-grad,Never-married,,Female,>50K
649-64-9649,30.0,HS-grad,Never-married,,,<=50K
546-54-6546,90.0,Assoc-acdm,,Not-in-family,,
041-04-1041,39.0,Masters,Widowed,Husband,Female,
786-78-6786,64.0,Bachelors,Married-civ-spouse,Husband,Male,
003-00-3003,35.0,Some-college,Never-married,Not-in-family,Male,<=50K
370-37-0370,48.0,HS-grad,Married-civ-spouse,Husband,,
401-40-1401,19.0,10th,Never-married,Own-child,Female,<=50K
318-31-8318,56.0,5th-6th,,Not-in-family,,<=50K
662-66-2662,21.0,Some-college,,Not-in-family,,
789-78-9789,54.0,7th-8th,Married-civ-spouse,,Male,<=50K
102-10-2102,32.0,HS-grad,Never-married,Unmarried,Female,
239-23-9239,36.0,Bachelors,,,Male,
226-22-6226,17.0,Masters,Never-married,Not-in-family,Female,
931-93-1931,30.0,1st-4th,Separated,,,<=50K
165-16-5165,36.0,9th,Married-civ-spouse,Wife,Female,<=50K
541-54-1541,60.0,12th,,Not-in-family,,<=50K
388-38-8388,41.0,7th-8th,Never-married,Own-child,Female,>50K
309-30-9309,,,,Husband,Male,
489-48-9489,31.0,Masters,,,Male,
360-36-0360,29.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
416-41-6416,,Some-college,Married-civ-spouse,Husband,,>50K
726-72-6726,35.0,,Married-civ-spouse,Husband,Male,
815-81-5815,62.0,HS-grad,Widowed,Not-in-family,,<=50K
501-50-1501,,7th-8th,Married-spouse-absent,Wife,Male,<=50K
559-55-9559,22.0,HS-grad,Never-married,Own-child,Female,
107-10-7107,17.0,Doctorate,,Other-relative,Male,>50K
059-05-9059,75.0,Assoc-voc,Separated,Husband,,<=50K
411-41-1411,24.0,Bachelors,Never-married,Not-in-family,Female,<=50K
442-44-2442,55.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
829-82-9829,,HS-grad,,Husband,,<=50K
103-10-3103,26.0,5th-6th,Married-civ-spouse,,Male,<=50K
194-19-4194,44.0,HS-grad,Married-civ-spouse,Husband,Male,
785-78-5785,39.0,Bachelors,Married-civ-spouse,,,<=50K
049-04-9049,17.0,HS-grad,Married-civ-spouse,,,<=50K
393-39-3393,44.0,Prof-school,Married-civ-spouse,Husband,Male,
472-47-2472,25.0,HS-grad,Married-civ-spouse,Own-child,Female,<=50K
430-43-0430,34.0,HS-grad,Married-civ-spouse,Husband,Male,
339-33-9339,43.0,,Divorced,Unmarried,Female,
060-06-0060,18.0,,Never-married,Own-child,Male,
941-94-1941,71.0,HS-grad,,,Male,
570-57-0570,34.0,HS-grad,Never-married,Not-in-family,Female,
920-92-0920,44.0,Masters,Widowed,,Female,<=50K
020-02-0020,57.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
302-30-2302,36.0,HS-grad,,Husband,,
158-15-8158,51.0,HS-grad,Divorced,Unmarried,Female,
053-05-3053,60.0,12th,Divorced,Not-in-family,,<=50K
260-26-0260,35.0,10th,,Husband,,<=50K
734-73-4734,35.0,,,Husband,Male,>50K
212-21-2212,61.0,Masters,Married-civ-spouse,,Male,<=50K
216-21-6216,37.0,Preschool,Never-married,Not-in-family,Female,
763-76-3763,38.0,,Never-married,,,
446-44-6446,32.0,Some-college,Married-civ-spouse,Wife,,>50K
976-97-6976,,HS-grad,,Not-in-family,,
736-73-6736,56.0,Bachelors,Divorced,Not-in-family,Female,
728-72-8728,75.0,Bachelors,Divorced,Other-relative,Male,
694-69-4694,,Bachelors,Married-civ-spouse,,Male,>50K
978-97-8978,37.0,,Married-civ-spouse,Wife,Female,
106-10-6106,28.0,Assoc-voc,Married-civ-spouse,Husband,Male,>50K
010-01-0010,,1st-4th,Married-spouse-absent,Unmarried,Male,
245-24-5245,25.0,HS-grad,Married-civ-spouse,,Male,<=50K
667-66-7667,50.0,Some-college,Divorced,Unmarried,Female,
207-20-7207,42.0,Masters,,Husband,Male,
772-77-2772,33.0,Doctorate,Never-married,Not-in-family,,
474-47-4474,,,Married-civ-spouse,Husband,,<=50K
688-68-8688,64.0,Bachelors,Never-married,Not-in-family,Female,>50K
294-29-4294,,Assoc-voc,Married-civ-spouse,,,<=50K
299-29-9299,30.0,,,,Female,
361-36-1361,61.0,,Married-civ-spouse,Husband,,>50K
735-73-5735,,,,Not-in-family,Male,<=50K
234-23-4234,44.0,Assoc-acdm,Widowed,Own-child,,<=50K
805-80-5805,60.0,Some-college,Married-civ-spouse,,Male,<=50K
312-31-2312,46.0,,Married-civ-spouse,Husband,Male,<=50K
902-90-2902,24.0,,Never-married,Husband,Female,>50K
840-84-0840,,HS-grad,,,Male,
747-74-7747,40.0,,,Other-relative,Female,<=50K
802-80-2802,37.0,,Divorced,,Female,>50K
156-15-6156,39.0,,Married-civ-spouse,Husband,,<=50K
856-85-6856,24.0,Some-college,Never-married,Own-child,Female,<=50K
893-89-3893,,Some-college,Never-married,Not-in-family,Male,<=50K
981-98-1981,46.0,HS-grad,Never-married,Not-in-family,,
991-99-1991,29.0,,Never-married,Not-in-family,Female,
146-14-6146,48.0,,Divorced,Not-in-family,Female,<=50K
320-32-0320,34.0,Assoc-acdm,Separated,Not-in-family,Male,<=50K
714-71-4714,80.0,7th-8th,Married-spouse-absent,,Male,<=50K
676-67-6676,59.0,Some-college,Separated,Wife,,<=50K
324-32-4324,43.0,,Married-spouse-absent,Unmarried,Female,<=50K
619-61-9619,84.0,Some-college,Separated,Husband,,
929-92-9929,51.0,Masters,Never-married,Own-child,,
496-49-6496,27.0,Bachelors,Married-civ-spouse,Wife,,
561-56-1561,37.0,Some-college,Married-civ-spouse,,,<=50K
297-29-7297,51.0,Assoc-voc,,Not-in-family,Female,
362-36-2362,36.0,HS-grad,Married-civ-spouse,Wife,Female,
946-94-6946,,Assoc-acdm,Married-civ-spouse,Wife,Female,
394-39-4394,36.0,Some-college,Married-civ-spouse,Husband,,
875-87-5875,34.0,12th,Divorced,,,
770-77-0770,,Bachelors,Divorced,Not-in-family,Male,
782-78-2782,61.0,10th,,Other-relative,Female,<=50K
851-85-1851,53.0,,Never-married,Not-in-family,Female,
560-56-0560,22.0,,Never-married,Own-child,Male,
583-58-3583,18.0,12th,Never-married,Own-child,Female,
327-32-7327,60.0,10th,Divorced,Other-relative,Female,>50K
645-64-5645,23.0,,Never-married,,,<=50K
591-59-1591,27.0,Assoc-voc,Widowed,Own-child,,<=50K
379-37-9379,44.0,,Divorced,Not-in-family,,
319-31-9319,24.0,HS-grad,,Not-in-family,Male,<=50K
190-19-0190,54.0,,Divorced,,Female,<=50K
338-33-8338,23.0,11th,Never-married,Not-in-family,,<=50K
122-12-2122,36.0,Doctorate,Widowed,Husband,Female,>50K
659-65-9659,45.0,12th,Married-civ-spouse,Husband,Male,
700-70-0700,26.0,Bachelors,Never-married,,Male,
271-27-1271,30.0,Assoc-acdm,Never-married,,Female,>50K
744-74-4744,63.0,11th,,Husband,Male,
719-71-9719,41.0,HS-grad,,Not-in-family,Female,<=50K
314-31-4314,69.0,Bachelors,Married-civ-spouse,Husband,,
459-45-9459,38.0,9th,Married-civ-spouse,Husband,Male,<=50K
526-52-6526,,,Married-civ-spouse,,Male,
282-28-2282,43.0,,Married-civ-spouse,Husband,,
168-16-8168,41.0,Masters,,,Male,
656-65-6656,56.0,,Married-AF-spouse,Husband,Female,<=50K
654-65-4654,25.0,HS-grad,Never-married,,,<=50K
517-51-7517,19.0,Doctorate,,Own-child,Male,
808-80-8808,36.0,Bachelors,Never-married,Not-in-family,,
951-95-1951,29.0,HS-grad,,Not-in-family,Male,<=50K
973-97-3973,38.0,,Married-civ-spouse,Wife,,<=50K
